               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024003,           0.0089531,           0.0045104,             0.83359,             0.73778,             0.79707,             0.53632,            0.028288,           0.0061824,           0.0089634,            0.006535,            0.006535,            0.006535
                  37,            0.023869,           0.0089275,           0.0039262,             0.86633,             0.73138,              0.8078,             0.52925,            0.028838,           0.0061839,           0.0083223,            0.006436,            0.006436,            0.006436
                  38,            0.023621,           0.0088023,           0.0043377,             0.85215,                0.74,             0.80623,             0.53159,            0.029805,           0.0061385,           0.0079403,            0.006337,            0.006337,            0.006337
                  39,            0.023813,           0.0086649,           0.0046313,             0.85787,              0.7247,             0.78924,             0.51213,             0.02919,           0.0061052,           0.0092092,            0.006238,            0.006238,            0.006238
                  40,            0.023688,           0.0086602,           0.0042465,             0.86055,             0.72315,             0.80403,             0.54659,            0.028554,           0.0061212,           0.0085773,            0.006139,            0.006139,            0.006139
                  41,            0.023278,           0.0085904,           0.0046404,             0.86915,             0.69453,             0.78729,             0.53049,            0.028687,           0.0060641,           0.0096124,             0.00604,             0.00604,             0.00604
                  42,            0.023228,           0.0085853,           0.0039511,             0.85418,             0.74332,             0.80295,             0.53677,            0.027849,           0.0059588,            0.008055,            0.005941,            0.005941,            0.005941
                  43,            0.023221,           0.0086338,           0.0040941,             0.87183,             0.72021,             0.80188,             0.54422,            0.027618,            0.005967,           0.0086574,            0.005842,            0.005842,            0.005842
                  44,            0.022684,           0.0086328,           0.0036075,             0.87751,             0.72932,             0.80052,             0.54438,            0.027695,           0.0060249,           0.0088637,            0.005743,            0.005743,            0.005743
                  45,            0.022652,           0.0085092,           0.0038735,             0.86512,             0.72593,             0.80129,              0.5404,            0.027181,           0.0060116,           0.0086707,            0.005644,            0.005644,            0.005644
                  46,            0.022596,           0.0085667,           0.0035714,             0.84646,             0.75257,             0.81026,             0.53788,            0.028084,           0.0059109,           0.0084822,            0.005545,            0.005545,            0.005545
                  47,            0.022775,           0.0084285,            0.003964,             0.86402,             0.74612,             0.81679,             0.55107,            0.027787,           0.0059821,           0.0083457,            0.005446,            0.005446,            0.005446
                  48,            0.022229,           0.0084195,           0.0037926,             0.84332,             0.76672,             0.82015,             0.55168,            0.027655,           0.0058948,           0.0084059,            0.005347,            0.005347,            0.005347
                  49,            0.022264,           0.0083991,           0.0037667,             0.85992,              0.7719,             0.81934,             0.56438,            0.027054,           0.0058342,           0.0081046,            0.005248,            0.005248,            0.005248
                  50,            0.021499,           0.0081031,           0.0036195,             0.82913,             0.75285,              0.8041,             0.53201,            0.028628,           0.0059791,           0.0086693,            0.005149,            0.005149,            0.005149
                  51,             0.02201,           0.0083454,             0.00333,             0.85585,             0.75403,             0.81712,             0.55425,            0.027423,           0.0060071,           0.0082416,             0.00505,             0.00505,             0.00505
                  52,            0.021652,           0.0081993,           0.0034084,             0.84727,             0.74057,             0.81131,             0.52624,            0.028047,           0.0058128,           0.0084478,            0.004951,            0.004951,            0.004951
                  53,            0.021435,           0.0083443,           0.0028113,              0.8391,             0.76076,             0.82031,             0.56364,            0.026822,           0.0058462,           0.0080353,            0.004852,            0.004852,            0.004852
                  54,            0.021178,           0.0082769,           0.0032039,              0.8603,             0.77072,             0.82916,             0.56342,            0.027005,           0.0058212,            0.007576,            0.004753,            0.004753,            0.004753
                  55,            0.021379,           0.0082304,           0.0029969,             0.85918,             0.76217,             0.82687,             0.56319,             0.02767,           0.0059415,           0.0075471,            0.004654,            0.004654,            0.004654
                  56,            0.021139,           0.0080254,           0.0033224,             0.86052,             0.76922,             0.82492,             0.56991,            0.026768,           0.0058039,           0.0077315,            0.004555,            0.004555,            0.004555
                  57,            0.020743,           0.0080246,           0.0028573,             0.86558,              0.7661,             0.82967,             0.57424,            0.026402,           0.0058216,           0.0077406,            0.004456,            0.004456,            0.004456
